No_Sound,One_Soft,One_Loud,Multi_Soft,Multi_Loud
4.100502513,3.67839196,3.316582915,4.281407035,3.376884422
4.64321608,3.316582915,4.462311558,3.015075377,3.015075377
2.894472362,2.894472362,2.894472362,2.713567839,3.135678392
4.16080402,4.040201005,4.16080402,3.798994975,3.738693467
2.412060302,2.532663317,2.291457286,1.989949749,2.050251256
2.894472362,2.050251256,2.472361809,2.653266332,2.110552764
2.894472362,2.773869347,2.954773869,2.412060302,2.592964824
1.989949749,1.809045226,1.929648241,1.567839196,1.628140704
4.16080402,2.532663317,2.110552764,2.834170854,3.497487437
3.859296482,3.979899497,4.221105528,3.979899497,3.557788945
3.43718593,4.221105528,5.547738693,5.065326633,3.738693467
2.834170854,2.412060302,3.618090452,2.351758794,2.291457286
5.246231156,4.100502513,4.100502513,4.100502513,4.040201005
4.221105528,3.91959799,4.703517588,3.135678392,3.497487437
3.316582915,3.798994975,3.316582915,3.618090452,2.713567839
3.557788945,3.015075377,3.497487437,2.472361809,2.653266332
4.582914573,4.221105528,4.824120603,4.703517588,4.884422111
3.075376884,3.256281407,3.316582915,3.195979899,3.798994975
3.316582915,3.075376884,3.075376884,3.075376884,3.195979899
3.015075377,3.798994975,4.522613065,3.738693467,3.43718593
