No_Sound,One_Soft,One_Loud,Multi_Soft,Multi_Loud
4.100502513,-0.422110553,-0.783919598,0.180904522,-0.723618091
4.64321608,-1.326633165,-0.180904522,-1.628140703,-1.628140703
2.894472362,0,0,-0.180904523,0.24120603
4.16080402,-0.120603015,0,-0.361809045,-0.422110553
2.412060302,0.120603015,-0.120603016,-0.422110553,-0.361809046
2.894472362,-0.844221106,-0.422110553,-0.24120603,-0.783919598
2.894472362,-0.120603015,0.060301507,-0.48241206,-0.301507538
1.989949749,-0.180904523,-0.060301508,-0.422110553,-0.361809045
4.16080402,-1.628140703,-2.050251256,-1.326633166,-0.663316583
3.859296482,0.120603015,0.361809046,0.120603015,-0.301507537
3.43718593,0.783919598,2.110552763,1.628140703,0.301507537
2.834170854,-0.422110552,0.783919598,-0.48241206,-0.542713568
5.246231156,-1.145728643,-1.145728643,-1.145728643,-1.206030151
4.221105528,-0.301507538,0.48241206,-1.085427136,-0.723618091
3.316582915,0.48241206,0,0.301507537,-0.603015076
3.557788945,-0.542713568,-0.060301508,-1.085427136,-0.904522613
4.582914573,-0.361809045,0.24120603,0.120603015,0.301507538
3.075376884,0.180904523,0.241206031,0.120603015,0.723618091
3.316582915,-0.241206031,-0.241206031,-0.241206031,-0.120603016
3.015075377,0.783919598,1.507537688,0.72361809,0.422110553
