No_Sound,One_Soft,One_Loud,Multi_Soft,Multi_Loud
19.46231156,19.64321608,19.52261307,20.30653266,19.94472362
18.91959799,18.37688442,18.25628141,18.55778894,18.67839196
19.7638191,19.22110553,19.7638191,20.06532663,20.12562814
22.83919598,22.1758794,20.78894472,23.20100503,20.54773869
20.18592965,20.30653266,20.36683417,19.64321608,20.18592965
19.40201005,19.28140704,18.9798995,19.10050251,19.7638191
21.81407035,22.95979899,22.53768844,23.20100503,22.77889447
18.79899497,19.70351759,19.8241206,20.06532663,19.70351759
19.10050251,20.00502513,20.12562814,19.88442211,20.54773869
21.63316583,21.27135678,20.84924623,20.6080402,21.03015075
18.79899497,16.5678392,17.11055276,17.89447236,19.16080402
18.37688442,19.04020101,19.64321608,19.16080402,18.43718593
18.43718593,18.9798995,19.46231156,17.11055276,19.52261307
19.34170854,19.04020101,19.10050251,18.67839196,20.42713568
20.54773869,19.88442211,21.45226131,22.2361809,19.46231156
18.91959799,19.22110553,19.22110553,19.88442211,19.52261307
20.30653266,21.75376884,22.1758794,20.00502513,21.75376884
21.15075377,20.84924623,22.05527638,22.29648241,22.59798995
19.94472362,20.84924623,22.47738693,20.42713568,20.54773869
19.70351759,18.9798995,18.1959799,18.55778894,19.8241206
