No_Sound,One_Soft,One_Loud,Multi_Soft,Multi_Loud
19.46231156,0.18090452,0.06030151,0.8442211,0.48241206
18.91959799,-0.54271357,-0.66331658,-0.36180905,-0.24120603
19.7638191,-0.54271357,0,0.30150753,0.36180904
22.83919598,-0.66331658,-2.05025126,0.36180905,-2.29145729
20.18592965,0.12060301,0.18090452,-0.54271357,0
19.40201005,-0.12060301,-0.42211055,-0.30150754,0.36180905
21.81407035,1.14572864,0.72361809,1.38693468,0.96482412
18.79899497,0.90452262,1.02512563,1.26633166,0.90452262
19.10050251,0.90452262,1.02512563,0.7839196,1.44723618
21.63316583,-0.36180905,-0.7839196,-1.02512563,-0.60301508
18.79899497,-2.23115577,-1.68844221,-0.90452261,0.36180905
18.37688442,0.66331659,1.26633166,0.7839196,0.06030151
18.43718593,0.54271357,1.02512563,-1.32663317,1.08542714
19.34170854,-0.30150753,-0.24120603,-0.66331658,1.08542714
20.54773869,-0.66331658,0.90452262,1.68844221,-1.08542713
18.91959799,0.30150754,0.30150754,0.96482412,0.60301508
20.30653266,1.44723618,1.86934674,-0.30150753,1.44723618
21.15075377,-0.30150754,0.90452261,1.14572864,1.44723618
19.94472362,0.90452261,2.53266331,0.48241206,0.60301507
19.70351759,-0.72361809,-1.50753769,-1.14572865,0.12060301
