Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      22( 18.5)       97( 81.5)      97       0       0       0       0       0       0
  2      17( 14.3)      102( 85.7)     102       0       0       0       0       0       0
  3      22( 18.6)       96( 81.4)      96       0       0       0       0       0       0
  4      18( 15.0)      102( 85.0)     102       0       0       0       0       0       0
  5      23( 19.2)       97( 80.8)      97       0       0       0       0       0       0
  6      14( 23.7)       45( 76.3)      45       0       0       0       0       0       0
  7       9( 15.0)       51( 85.0)      51       0       0       0       0       0       0
  8       9( 15.3)       50( 84.7)      50       0       0       0       0       0       0
  9      11( 18.3)       49( 81.7)      49       0       0       0       0       0       0
 10      15( 25.0)       45( 75.0)      45       0       0       0       0       0       0
 11       9( 15.0)       51( 85.0)      51       0       0       0       0       0       0
 12      13( 22.0)       46( 78.0)      46       0       0       0       0       0       0
 13      13( 22.0)       46( 78.0)      46       0       0       0       0       0       0
 14      20( 33.3)       40( 66.7)      40       0       0       0       0       0       0
 15      12( 20.0)       48( 80.0)      48       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   227( 19.0)      965( 81.0)     965       0       0       0       0       0       0

