Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      28( 23.5)       91( 76.5)      91       0       0       0       0       0       0
  2      29( 24.4)       90( 75.6)      90       0       0       0       0       0       0
  3      29( 24.6)       89( 75.4)      89       0       0       0       0       0       0
  4      30( 25.0)       90( 75.0)      90       0       0       0       0       0       0
  5      29( 24.2)       91( 75.8)      91       0       0       0       0       0       0
  6      21( 35.6)       38( 64.4)      38       0       0       0       0       0       0
  7      15( 25.0)       45( 75.0)      45       0       0       0       0       0       0
  8      12( 20.3)       47( 79.7)      47       0       0       0       0       0       0
  9      13( 21.7)       47( 78.3)      47       0       0       0       0       0       0
 10      18( 30.0)       42( 70.0)      42       0       0       0       0       0       0
 11      15( 25.0)       45( 75.0)      45       0       0       0       0       0       0
 12      17( 28.8)       42( 71.2)      42       0       0       0       0       0       0
 13      16( 27.1)       43( 72.9)      43       0       0       0       0       0       0
 14      28( 46.7)       32( 53.3)      32       0       0       0       0       0       0
 15      15( 25.0)       45( 75.0)      45       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   315( 26.4)      877( 73.6)     877       0       0       0       0       0       0

