No_Sound,One_Soft,One_Loud,Multi_Soft,Multi_Loud
1.214872573,1.193184652,1.175337335,1.219061257,1.180247463
1.237554827,1.143202468,1.227466614,1.163190013,1.160875874
1.115887513,1.153863734,1.154378854,1.145146442,1.165093322
1.251398305,1.208118327,1.216551789,1.236418588,1.199959827
1.12579271,1.136933863,1.099591538,1.091490555,1.076247808
1.156487806,1.112270838,1.126254049,1.142152199,1.102033533
1.152143215,1.135288165,1.15031871,1.121751635,1.125891005
1.107723154,1.09713566,1.103865648,1.081850225,1.087964739
1.221496298,1.115875273,1.087988186,1.149599193,1.186288489
1.204224408,1.207378405,1.214272508,1.208278825,1.185533597
1.185254851,1.224065565,1.267716601,1.251143347,1.197338628
1.151490024,1.130327009,1.192479149,1.116233807,1.123807532
1.191466454,1.216310399,1.211089912,1.221741346,1.212044883
1.218481585,1.202229933,1.238757074,1.168791533,1.182269678
1.190193905,1.160072712,1.189865102,1.131282503,1.139431574
1.289337376,1.259980537,1.251859127,1.26438497,1.290739986
1.236041629,1.219492356,1.298558291,1.235539406,1.242412473
1.162618291,1.165841045,1.174255789,1.162342997,1.196911713
1.176901302,1.156821399,1.159766825,1.163232182,1.169910152
1.140482485,1.202008639,1.233682732,1.198714215,1.181110878
