No_Sound,One_Soft,One_Loud,Multi_Soft,Multi_Loud
19.10175366,19.29265647,19.16220951,19.8859858,19.55840863
18.61354843,17.76899456,18.04043157,18.23723672,18.38934323
18.54987428,18.88896523,19.41384066,19.6804781,19.73008482
22.23181093,21.7786793,20.32800442,22.72315412,20.11155306
19.85655798,19.94044497,19.5246583,19.686613,19.9480661
19.0195116,18.9871508,18.57108354,18.77737217,19.26633054
21.43323866,22.69812906,22.20886941,22.92825896,22.52964881
18.52354978,19.42487053,19.53175764,19.83026421,19.43670674
18.75568394,19.20439658,19.14068391,19.55716449,20.11458669
21.21891789,20.81052259,20.3903455,20.1704418,20.61927873
18.44555455,16.56989823,17.25926754,17.80539292,18.84157423
18.10966317,18.73023308,19.26096521,18.64318813,18.17624388
17.43395992,18.6375335,19.11242236,16.99559329,19.12925851
18.98261664,18.71255,18.78052295,18.34807309,20.02984389
18.57140831,18.8965867,18.83050424,19.57180458,19.19615965
16.30001729,18.88623078,18.75294784,17.88789257,18.32090916
19.86601533,21.30509763,21.39305765,19.59272571,21.24723809
20.72996271,20.46962193,21.65675438,21.95397351,22.21505442
19.56628791,20.47542079,22.11404152,20.02158903,20.1347995
18.88581484,18.65361605,18.0235286,18.25505099,19.42831763
