No Sound,One Soft,One Loud,Multi Soft,Multi Loud,One Soft-N,One Loud-N,Multi Soft-N,Multi Loud-N
0.21509,0.27096,0.222,0.19159,0.24732,0.05587,0.00691,-0.0235,0.03223
0.18412,0.16707,0.15173,0.18925,0.15623,-0.01705,-0.03239,0.00513,-0.02789
0.20771,0.15194,0.19891,0.14423,0.14309,-0.05577,-0.0088,-0.06348,-0.06462
0.14312,0.14318,0.14357,0.13818,0.1529,6E-05,0.00045,-0.00494,0.00978
0.22385,0.20585,0.19611,0.21213,0.18232,-0.018,-0.02774,-0.01172,-0.04153
0.13518,0.14561,0.12158,0.14511,0.10796,0.01043,-0.0136,0.00993,-0.02722
0.14534,0.10618,0.12351,0.13281,0.10411,-0.03916,-0.02183,-0.01253,-0.04123
0.14195,0.1268,0.14006,0.11493,0.11867,-0.01515,-0.00189,-0.02702,-0.02328
0.11561,0.092645,0.098886,0.078642,0.090296,-0.022965,-0.016724,-0.036968,-0.025314
0.21142,0.12572,0.11182,0.14221,0.16475,-0.0857,-0.0996,-0.06921,-0.04667
0.18577,0.18857,0.1941,0.18939,0.17004,0.0028,0.00833,0.00362,-0.01573
0.14112,0.12248,0.17594,0.11838,0.11644,-0.01864,0.03482,-0.02274,-0.02468
0.2192,0.21372,0.19619,0.21534,0.19844,-0.00548,-0.02301,-0.00386,-0.02076
0.19767,0.18414,0.21406,0.15599,0.16754,-0.01353,0.01639,-0.04168,-0.03013
0.16123,0.17782,0.15479,0.16506,0.13175,0.01659,-0.00644,0.00383,-0.02948
0.17409,0.14858,0.17345,0.12352,0.13064,-0.02551,-0.00064,-0.05057,-0.04345
0.2099,0.1969,0.26022,0.20959,0.21572,-0.013,0.05032,-0.00031,0.00582
0.16647,0.14792,0.14998,0.15382,0.1599,-0.01855,-0.01649,-0.01265,-0.00657
0.13736,0.1771,0.18625,0.17313,0.15448,0.03974,0.04889,0.03577,0.01712
