No Sound,One Soft,One Loud,Multi Soft,Multi Loud,One Soft-N,One Loud-N,Multi Soft-N,Multi Loud-N
2.9736,2.9899,2.9864,3.0736,2.99,0.0163,0.0128,0.1,0.0164
2.9435,2.9529,2.9461,2.9829,2.9661,0.0094,0.0026,0.0394,0.0226
2.9185,2.8918,2.888,2.8979,2.9056,-0.0267,-0.0305,-0.0206,-0.0129
2.9712,2.9382,2.9658,2.9861,2.9821,-0.033,-0.0054,0.0149,0.0109
3.1015,3.1029,3.012,3.1228,3.0012,0.0014,-0.0895,0.0213,-0.1003
3.0221,3.0155,3.0124,3.0252,2.9948,-0.0066,-0.0097,0.0031,-0.0273
2.9456,2.9433,2.9263,2.9325,2.9687,-0.0023,-0.0193,-0.0131,0.0231
3.0648,3.1221,3.1004,3.1329,3.1149,0.0573,0.0356,0.0681,0.0501
2.9287,2.9665,2.9721,2.9871,2.9754,0.0378,0.0434,0.0584,0.0467
2.939,2.9835,2.994,2.9794,3.0085,0.0445,0.055,0.0404,0.0695
3.0548,3.0353,3.0148,3.0043,3.0264,-0.0195,-0.04,-0.0505,-0.0284
2.8964,2.93,2.9582,2.9353,2.9001,0.0336,0.0618,0.0389,0.0037
2.9169,2.9393,2.9665,2.8367,2.9585,0.0224,0.0496,-0.0802,0.0416
2.9429,2.9292,2.933,2.9091,2.9974,-0.0137,-0.0099,-0.0338,0.0545
2.9961,2.9627,3.0433,3.0779,2.943,-0.0334,0.0472,0.0818,-0.0531
2.9216,2.9389,2.9359,2.9744,2.9547,0.0173,0.0143,0.0528,0.0331
2.9839,3.0545,3.0578,2.9702,3.0518,0.0706,0.0739,-0.0137,0.0679
2.9699,3.0171,3.0952,2.9938,2.9998,0.0472,0.1253,0.0239,0.0299
2.9616,2.9281,2.8815,2.9062,2.9662,-0.0335,-0.0801,-0.0554,0.0046
