No Sound,One Soft,One Loud,Multi Soft,Multi Loud
4.25,5.454,4.4352,4.1661,4.9682
3.5147,3.2141,2.8987,3.7583,3.0455
3.8732,2.7497,3.5957,2.6226,2.6242
2.802,2.7134,2.7944,2.7461,3.0291
5.0183,4.6154,4.0123,4.8538,3.6867
2.7843,2.9817,2.478,2.9992,2.1642
2.7751,2.0186,2.3106,2.501,2.0303
3.0519,2.8847,3.1211,2.6403,2.6799
2.1675,1.8031,1.9336,1.5607,1.7722
4.0245,2.4911,2.2375,2.808,3.3528
3.966,3.9464,3.9815,3.8443,3.5236
2.5641,2.2998,3.4074,2.2339,2.1218
4.0849,4.0724,3.8355,3.702,3.849
3.7748,3.4653,4.0525,2.8718,3.3718
3.2402,3.4589,3.26,3.5999,2.5067
3.2479,2.8177,3.2838,2.4254,2.515
4.1794,4.2034,5.6009,4.116,4.6035
3.2603,3.0335,3.3233,3.0834,3.2249
2.6629,3.3275,3.3418,3.182,3.0113
