No Sound,One Soft,One Loud,Multi Soft,Multi Loud
19.564,19.884,19.814,21.621,19.885
18.982,19.16,19.031,19.743,19.416
18.514,18.026,17.956,18.134,18.275
19.516,18.883,19.409,19.808,19.73
22.23,22.262,20.328,22.71,20.109
20.533,20.401,20.335,20.599,19.979
19.024,18.978,18.659,18.775,19.468
21.43,22.694,22.206,22.936,22.53
18.705,19.422,19.531,19.828,19.598
18.897,19.755,19.965,19.676,20.258
21.219,20.807,20.384,20.173,20.622
18.109,18.729,19.263,18.826,18.174
18.483,18.902,19.425,17.059,19.269
18.971,18.713,18.783,18.34,20.033
20.007,19.351,20.975,21.71,18.971
18.571,18.895,18.838,19.578,19.195
19.764,21.212,21.282,19.496,21.159
19.49,20.433,22.092,19.961,20.082
19.33,18.691,17.841,18.287,19.418
