No Sound,One Soft,One Loud,Multi Soft,Multi Loud
0.10862,0.13714,0.11192,0.096344,0.12492
0.092582,0.083873,0.076157,0.09518,0.078425
0.10461,0.076269,0.10013,0.072312,0.0718
0.071788,0.071847,0.071989,0.069317,0.076765
0.11287,0.10366,0.098688,0.10686,0.091665
0.067801,0.073077,0.060927,0.072801,0.054161
0.072939,0.053183,0.061916,0.066602,0.052145
0.071204,0.063556,0.070277,0.057558,0.059474
0.057939,0.04642,0.049499,0.039357,0.045214
0.10648,0.063049,0.056036,0.071355,0.082753
0.093453,0.094833,0.097663,0.095283,0.085434
0.070797,0.061398,0.088442,0.059332,0.058374
0.11051,0.10772,0.098727,0.10851,0.099874
0.099486,0.09259,0.10788,0.078294,0.084158
0.080975,0.089376,0.077712,0.082911,0.066065
0.087447,0.074563,0.08716,0.061943,0.065511
0.10573,0.099082,0.13159,0.10556,0.10878
0.083641,0.074232,0.075215,0.077238,0.080294
0.068881,0.089014,0.093655,0.087,0.077541
