No Sound,One Soft,One Loud,Multi Soft,Multi Loud,One Soft-N,One Loud-N,Multi Soft-N,Multi Loud-N
0.072334,0.090627,0.074337,0.062333,0.082717,0.018293,0.002003,-0.010001,0.010383
0.062552,0.05658,0.051503,0.063445,0.052672,-0.005972,-0.011049,0.000893,-0.00988
0.071171,0.052541,0.068877,0.04977,0.049246,-0.01863,-0.002294,-0.021401,-0.021925
0.048168,0.048731,0.048408,0.046276,0.051272,0.000563,0.00024,-0.001892,0.003104
0.072176,0.066341,0.065109,0.067928,0.060749,-0.005835,-0.007067,-0.004248,-0.011427
0.04473,0.048287,0.040358,0.047966,0.036051,0.003557,-0.004372,0.003236,-0.008679
0.04934,0.036076,0.042208,0.045288,0.035069,-0.013264,-0.007132,-0.004052,-0.014271
0.046316,0.040612,0.045176,0.036684,0.038097,-0.005704,-0.00114,-0.009632,-0.008219
0.039475,0.03123,0.033271,0.026328,0.030347,-0.008245,-0.006204,-0.013147,-0.009128
0.071934,0.042138,0.03735,0.04773,0.05476,-0.029796,-0.034584,-0.024204,-0.017174
0.060812,0.062127,0.064384,0.063041,0.056186,0.001315,0.003572,0.002229,-0.004626
0.048722,0.041803,0.059475,0.040331,0.040152,-0.006919,0.010753,-0.008391,-0.00857
0.075148,0.072711,0.066134,0.075912,0.067076,-0.002437,-0.009014,0.000764,-0.008072
0.067169,0.062864,0.072982,0.053621,0.055897,-0.004305,0.005813,-0.013548,-0.011272
0.053813,0.06002,0.050862,0.053627,0.044769,0.006207,-0.002951,-0.000186,-0.009044
0.059586,0.050556,0.05908,0.041528,0.044213,-0.00903,-0.000506,-0.018058,-0.015373
0.070342,0.064462,0.085099,0.070563,0.070686,-0.00588,0.014757,0.000221,0.000344
0.056053,0.049028,0.048456,0.05138,0.053301,-0.007025,-0.007597,-0.004673,-0.002752
0.046381,0.060484,0.064637,0.059571,0.05208,0.014103,0.018256,0.01319,0.005699
